Institution_Srce,Institution_Strd
上海市警察局靜安寺分局,上海市警察局
上海市警察局高橋分局刑事處,上海市警察局
上海市警察局黃浦分局,上海市警察局
上海市警察局龍華分局,上海市警察局
上海市警察總局,上海市警察局
上海市警局,上海市警察局
上海市財政局,市財政局
上海市財政局局長兼土地局,上海市財政局
上海市貧民急救助金社,上海市貧民急救助金社
上海市軍裝工業同業公會,上海市軍裝工業同業公會
上海市輪渡公司,上海市輪渡公司
上海市輪船商業同業公會,上海市輪船業公會
上海市農工商局,上海市農工商局
上海市造漆工業同業公會,上海市造漆工業同業公會
上海市造紙工業同業公會,上海市造紙工業同業公會
上海市選舉委員會,上海市選舉委員會
上海市醫師公會,上海市醫師公會
上海市金銀工會,上海市金銀工會
上海市金銀工會第一分會,上海市金銀工會
上海市銀樓業職業工會,上海市銀樓業職業工會
上海市銀樓業職業工會整理委員會,上海市銀樓業職業工會
上海市銀行,上海市銀行
上海市銀行公會,上海銀行公會
上海市銀行公會聯合準備庫,上海市銀行公會
上海市銀行南市辦事處,上海市銀行
上海市銀行商業同業公會,上海銀行公會
上海市銀行業同業公會,上海市銀行商業同業公會
上海市銀行業聯合準備委員會,上海市銀行業聯合準備委員會
上海市銅鐵機器業同業公會,上海市銅鐵機器業同業公會
上海市鋼鐵煉製工業公會,上海市鋼鐵煉製工業公會
上海市錢商業同業公會,上海市錢商業同業公會
上海市錢業聯合準備庫,上海市錢業聯合準備庫
上海市電工器材工業同業公會,上海市電工器材工業同業公會
上海市電影業職業工會,上海市電影業職業工會
上海市電影業職業工會第二分會,上海市電影業職業工會
上海市電機絲織工業同業公會,上海市電機絲織工業同業公會
上海市餅乾麵包糖果食品商業同業公會,上海市餅乾麵包糖果食品商業同業公會
上海市高等法院,江蘇上海高等法院
上海市高等法院檢察處,江蘇上海高等法院
上海市鮮肉業同業公會,上海市鮮肉業同業公會
上海市鮮肉業同業公會第一特區分會,上海市鮮肉業同業公會
上海市黃浦區,上海市黃浦區
上海市黨部,上海市黨部
上海平康里,Remove
上海平康里恆濟戒烟局,恆濟戒烟局
上海平康里恒濟戒烟局,恆濟戒烟局
上海幼幼敎養院,上海幼幼敎養院
上海廣報館,廣報館
上海廣學會,廣學會
上海廣益善堂,上海廣益善堂
上海廵捕房,上海廵捕房
上海廵捕房西局,上海廵捕房
上海復旦公學,上海復旦公學
上海怡和洋行,上海怡和洋行
上海急救時疫醫院,上海急救時疫醫院
上海恆豐紗廠,恆豐紗廠
上海恊賑公所,恊賑公所
上海恒豐紗廠,恆豐紗廠
上海戒煙局,上海戒煙局
上海招商局,招商輪船局
上海招商輪船局,招商輪船局
上海捲烟廠工業同業公會,上海捲煙廠工業同業公會
上海提標右營,上海提右營
上海提標右營計七營,上海提右營
上海敎區公敎進行會總會,上海敎區公敎進行會總會
上海敬業書院,敬業書院
上海文報局,文報局
上海文報局内恊賑公所,恊賑公所
上海昌興糖行,上海昌興糖行
上海晨報社,上海晨報社
上海普育善堂,普育善堂
上海會,上海會審公廨
上海會捕局,會捕局
上海有恆豐紗廠,恆豐紗廠
上海東陸銀行,上海東陸銀行
上海某校,Remove
上海棉布市,上海棉布市塲
上海榮康酒樓,上海榮康酒樓
上海機器制縫紉業職工會,上海機器制縫紉業職工會
上海機器局,上海織布機器局
上海機器廠,上海機器廠
上海橡膠製品工業同業公會,上海橡膠製品工業同業公會
上海殯儀舘,上海殯儀舘
上海毛絨紡織廠,上海毛絨紡織廠
上海水泥公司,上海水泥公司
上海永安紡織公司,上海永安紡織公司
上海永年人壽保險公司,上海永年人壽保險公司
上海江蘇銀行,上海江蘇銀行
上海法,Remove
上海法公堂,法界會審公廨
上海法公董局,公董局
上海法租界,Remove
上海法租界公董局,公董局
上海法租界公董局警務處,公董局警務處
上海法租界納稅華人會,法租界納稅華人會
上海法租界總商會,法租界總商會
上海泰安里,Remove
上海泰山煉瓦公司,上海泰山煉瓦公司
上海洋藥捐局,洋藥釐捐局
上海洋藥釐捐局,洋藥釐捐局
上海浙江地方實業銀行,上海浙江地方實業銀行
上海浴室商業同業公會,上海浴室商業同業公會
上海港務整理委員,上海港務整理委員
上海港務整理委員會查緝警衛組,上海港務整理委員會查緝警衛組
上海濟民醫院,上海濟民醫院
上海炮局,上海炮局
上海煤業公棧股份有限公司,上海煤業公棧公司
上海煤業銀行,上海煤業銀行
上海煤氣公司,上海煤氣公司
上海煤油廠高,上海煤油廠高
上海熟煤行,上海熟煤行
上海熾昌新製膠廠,上海熾昌新製膠廠
上海牙刷業同業公會,上海牙刷業同業公會
上海特別市公用局,公用局
上海特別市執行委員會,上海特別市執行委員會
上海特別市政府,上海市政府
上海特別市政府工務局,工務局
上海特別市政府財政局,上海市財政局
上海特別市新藥業同業公會,上海市新藥業同業公會
上海特別市第五區黨部第六區分部執行委員會,國民黨
上海特別市第六區黨部,國民黨
上海特別市第四區黨部二十六分部,國民黨
上海特別市經濟局,經濟局
上海特別市總商會,上海總商會
上海特別市臨時市政府,上海臨時市政府
上海特別市警察局,上海市警察局
上海特別市黨部,上海市黨部
上海特別市黨部第九十三分部,國民黨
上海特别巿政府,上海巿政府
上海特别巿財政局,財政局
上海特别市公安局,公安局
上海特别市公安局户籍科,公安局
上海特别市公安局第一區總署,公安局第一區總署
上海特别市公用局,公用局
上海特别市商民協會,上海市商民協會
上海特别市商民協會藥業分會,上海市商民協會藥業分會
上海特别市商民協會藥業飲片分會,上海市商民協會藥業飲片分會
上海特别市商民協會陽傘業分會,上海市商民協會陽傘業分會
上海特别市商民恊會,上海市商民恊會
上海特别市商民恊會醬酒業業會籌備處,上海市商民恊會醬酒業業會籌備處
上海特别市國術館,上海市國術館
上海特别市土地局,土地局
上海特别市工務,工務局
上海特别市工務局,工務局
上海特别市工務局長,工務局
上海特别市市政府,市政府
上海特别市房客總聯合會,上海市房客總聯合會
上海特别市指導委員會民衆訓練委員會,上海市指導委員會民衆訓練委員會
上海特别市政府,市政府
上海特别市政府公安局,公安局
上海特别市政府土地局,土地局
上海特别市政府財政局,財政局
上海特别市敎育局,敎育局
上海特别市社會局,社會局
上海特别市財政局牛捐承辦所,財政局
上海特别市農工商局,上海市農工商局
上海特别市閘北區救火聯合會,上海市閘北區救火聯合會
上海特别市黨部,上海市黨部
上海特種刑事法庭,上海特種刑事法庭
上海申報館,申報館
上海皮件業同業工會,上海皮件業同業工會
上海直接稅局第三科,上海直接稅局
上海直賑公所,直賑公所
上海硝磺局,硝磺局
上海票據交換所,上海票據交換所
上海福潤局,福潤局
上海禪臣洋行,禪臣洋行
上海租界,Remove
上海租界事務會審分府,英界會審公廨
上海租界會審,英界會審公廨
上海租界會審分府,英界會審公廨
上海第一交通大學電機工程科,上海第一交通大學電機工程科
上海第一特區地方,上海第一特區地方法院
上海籌賑局,籌賑局
上海粮廳,上海粮廳
上海紅星橡膠廠,上海紅星橡膠廠
上海紅白木業工會一分會,上海紅白木業工會
上海納稅華人會,公共租界納稅華人會
上海紡織印染公司,上海紡織印染公司
上海絲業會,上海北巿絲業會館
上海絲業會館,上海北巿絲業會館
上海絲業會館籌賑公所,上海絲業會館籌賑公所
上海絲業籌賑公所,上海絲業會館籌賑公所
上海絲繭總公所,上海絲繭業總公所
上海綢業商業儲蓄銀行,上海綢業商業儲蓄銀行
上海綢緞布染業工會第一二分會,上海綢緞布染業工會
上海縣,上海縣署
上海縣中,上海縣署
上海縣令,Remove
上海縣公,上海縣公署
上海縣公置,上海縣公署
上海縣刑招工,Remove
上海縣學,Remove
上海縣捕役會,上海縣捕役會
上海縣政府財政局,上海縣財政局
上海縣暑,上海縣署
上海縣照,Remove
上海縣獄,上海縣獄
上海縣田大令,Remove
上海縣發堂,Remove
上海縣督捕廳,上海縣署
上海縣知事,上海縣知事公署
上海縣知事公署,上海縣署
上海縣知事會,上海縣知事公署
上海縣知事署,上海縣知事公署
上海縣究辦,Remove
上海縣立,Remove
上海縣署,上海縣署
上海縣草善徵大令製造局,上海縣署
上海縣莫邑尊英會,上海縣署
上海縣莫邑尊製造局,江南製造局
上海縣葉明府,上海縣署
上海縣衙,上海縣署
上海縣衙門,上海縣署
上海縣裝大中,Remove
上海縣裴邑尊貨捐局,貨捐局
上海縣訊,Remove
上海縣訊供收所,上海縣署
上海縣訊辦,Remove
上海縣財政局,上海縣財政局
上海縣轉委水利廳,水利廳
上海縣陰陽學,Remove
上海縣陸大令,上海縣署
上海縣陸邑尊升堂,Remove
上海縣驗明委係,上海縣署
上海縣鹽快,上海縣署
上海縣黃大令,上海縣署
上海縣黄大,上海縣署
上海縣黄大令,上海縣署
上海總商會,上海總商會
上海總商會商業,上海總商會
上海總商會組織委員會,上海總商會組織委員會
上海總醫院,上海總醫院
上海署,上海縣署
上海美新,Remove
上海美興公司機械部,上海美興公司
上海義渡局,上海義渡局
上海翼化堂,上海翼化堂
上海聖教書會,上海聖教書會
上海肺病療養院,上海肺病療養院
上海臨時市政府,上海臨時市政府
上海至中,上海至中商業儲蓄銀行
上海至中商業儲蓄銀,上海至中商業儲蓄銀行
上海至中商業儲蓄銀行,上海至中商業儲蓄銀行
上海興業銀行中棉織染廠,上海興業銀行中棉織染廠
上海船,Remove
上海英工部局,工部局
上海華商證券交易所,上海華商證券交易所
上海華商鑄豐通記搪瓷公司,上海華商鑄豐通記搪瓷公司
上海華商電氣公司,上海華商電氣公司
