Name_ZhT;Name_Py;Province_Py;Province_ZhT;LAT;LONG;Name_Full;Level;Year;LocID;NameID;ID;FID;Provider;
從化;Conghua;Guangdong;廣東;23.5684398395986;113.514405072057;從化縣;縣;1931;D2885032;N0281218;2146;s1514;ENP-China Project: https://www.enpchina.eu/;
大埔;Dabu;Guangdong;廣東;24.4787044812041;116.69032018985;大埔縣;縣;1931;D3328002;N0307935;2193;s1845;ENP-China Project: https://www.enpchina.eu/;
大城;Dacheng;Hebei;河北;38.7020994536819;116.620869619882;大城縣;縣;1931;D3112484;N0307922;1605;s160;ENP-China Project: https://www.enpchina.eu/;
大定;Dading;Guizhou;貴州;27.155312709695;105.610837943559;大定縣;縣;1931;DH017327-1;DH133856-1;383;s1079;ENP-China Project: https://www.enpchina.eu/;
大關;Daguan;Yunnan;雲南;27.7207571496805;103.807106665428;大關縣;縣;1931;D2865112;N0307141;503;s1304;ENP-China Project: https://www.enpchina.eu/;
代縣;Daixian;Shanxi;山西;39.1225249942756;112.841812948494;代縣;縣;1931;D2974703;N0281672;531;s934;ENP-China Project: https://www.enpchina.eu/;
大賚;Dalai;Heilongjiang;黑龍江;45.4220812882066;124.366997700709;大賚縣;縣;1931;T0257521-1;T0257496-2;517;s893;ENP-China Project: https://www.enpchina.eu/;
大理;Dali;Yunnan;雲南;25.7115298930799;100.17814389308;大理縣;縣;1931;D2865079;N0034843;278;s1246;ENP-China Project: https://www.enpchina.eu/;
大荔;Dali;Shaanxi;陝西;34.8017286027975;109.76721055943;大荔縣;縣;1931;D3101997;N0311080;44;s1598;ENP-China Project: https://www.enpchina.eu/;
大名;Daming;Hebei;河北;36.2884211469442;115.073031062418;大名縣;縣;1931;D3081324;N0307463-1;1240;s534;ENP-China Project: https://www.enpchina.eu/;
丹巴;Danba;Xikang;西康;30.8809623325067;101.858046213698;丹巴縣;縣;1931;D2868279;N0277438;720;s977;ENP-China Project: https://www.enpchina.eu/;
碭山;Dangshan;Jiangsu;江蘇;34.4579776907975;116.420125294809;碭山縣;縣;1931;DH005481-1;DH122010-1;2381;s1118;ENP-China Project: https://www.enpchina.eu/;
當塗;Dangtu;Anhui;安徽;31.5585503223816;118.484061068059;當塗縣;縣;1931;D2868430;N0328080;1572;s193;ENP-China Project: https://www.enpchina.eu/;
當陽;Dangyang;Hubei;湖北;30.8684684772381;111.688996063381;當陽縣;縣;1931;D2865188;N0328108;1755;s282;ENP-China Project: https://www.enpchina.eu/;
大寧;Daning;Shanxi;山西;36.4210449928285;110.719863302124;大寧縣;縣;1931;11703559;N0415327;635;s801;ENP-China Project: https://www.enpchina.eu/;
丹江;Danjiang;Guizhou;貴州;26.3494107499321;108.094965540373;丹江縣;縣;1931;DH043132-1;DH217925-1;185;s1797;ENP-China Project: https://www.enpchina.eu/;
丹稜;Danleng;Sichuan;四川;30.0275955600984;103.537325320935;丹稜縣;縣;1931;11703508;N0415276;416;s1400;ENP-China Project: https://www.enpchina.eu/;
儋縣;Danxian;Guangdong;廣東;19.74470548007;109.270911319396;儋縣;縣;1931;11703519;N0415287;2581;s933;ENP-China Project: https://www.enpchina.eu/;
單縣;Danxian;Shandong;山東;34.8223041414518;116.163139798741;單縣;縣;1931;D3059784;N0292354;2273;s1664;ENP-China Project: https://www.enpchina.eu/;
丹陽;Danyang;Jiangsu;江蘇;31.98654086437;119.562909148278;丹陽縣;縣;1931;D2938130;N0277484;2375;s1106;ENP-China Project: https://www.enpchina.eu/;
稻城;Daocheng;Xikang;西康;29.0415443931863;100.157819379631;稻城縣;縣;1931;D2867116;N0373623;722;s979;ENP-China Project: https://www.enpchina.eu/;
道孚;Daofu;Xikang;西康;30.9917165452892;101.135150473509;道孚縣;縣;1931;D2892467;N0394508;262;s1214;ENP-China Project: https://www.enpchina.eu/;
道縣;Daoxian;Hunan;湖南;25.6003838919902;111.466446632858;道縣;縣;1931;D2864685;N0394450;1789;s263;ENP-China Project: https://www.enpchina.eu/;
大塘;Datang;Guizhou;貴州;25.9311849977871;106.961886715446;大塘縣;縣;1931;11703558;N0415326;476;s1376;ENP-China Project: https://www.enpchina.eu/;
大田;Datian;Fujian;福建;25.7404570379047;117.722980728589;大田縣;縣;1931;D2878057;N0310430;2528;s1290;ENP-China Project: https://www.enpchina.eu/;
大同;Datong;Shanxi;山西;40.1212341510507;113.263507246152;大同縣;縣;1931;DH018769-1;DH135298-1;376;s1086;ENP-China Project: https://www.enpchina.eu/;
大通;Datong;Qinghai;青海;37.0084238791591;101.59769573312;大通縣;縣;1931;11703562;N0415330;419;s1401;ENP-China Project: https://www.enpchina.eu/;
達縣;Daxian;Sichuan;四川;31.2597566431899;107.46052470764;達縣;縣;1931;D3314114;N0393566;660;s1029;ENP-China Project: https://www.enpchina.eu/;
大興;Daxing;Hebei;河北;39.9134414404977;116.381418296906;大興縣;縣;1931;11703561;N0415329;1669;s284;ENP-China Project: https://www.enpchina.eu/;
大姚;Dayao;Yunnan;雲南;25.7079211389961;101.282840331452;大姚縣;縣;1931;DH035164-1;DH151693-1;857;s611;ENP-China Project: https://www.enpchina.eu/;
大冶;Daye;Hubei;湖北;30.0875319589435;114.93679747507;大冶縣;縣;1931;DH043531-1;DH218324-1;1262;s503;ENP-China Project: https://www.enpchina.eu/;
大邑;Dayi;Sichuan;四川;30.5969481733125;103.516062434897;大邑縣;縣;1931;D2867102;N0311443;677;s981;ENP-China Project: https://www.enpchina.eu/;
大庸;Dayong;Hunan;湖南;29.12097767545;110.336517913255;大庸縣;縣;1931;11703560;N0415328;1768;s252;ENP-China Project: https://www.enpchina.eu/;
大庾;Dayu;Jiangxi;江西;25.4778927546599;114.323531023894;大庾縣;縣;1931;DH047507-1;DH222300-1;1202;s554;ENP-China Project: https://www.enpchina.eu/;
大余太;Dayutai;Suiyuan;綏遠;41.0530214137328;109.249674531822;大余太縣;縣;1931;11703557;N0415325;513;s900;ENP-China Project: https://www.enpchina.eu/;
大竹;Dazhu;Sichuan;四川;30.7981793221645;107.239726281279;大竹縣;縣;1931;D2927915;N0310795;436;s1412;ENP-China Project: https://www.enpchina.eu/;
大足;Dazu;Sichuan;四川;29.710096;105.709127;大足縣;縣;1931;DH008538-1;DH183331-1;414;s1488;ENP-China Project: https://www.enpchina.eu/;
德安;Dean;Jiangxi;江西;29.2892087424253;115.89772233566;德安縣;縣;1931;DH032516-1;DH207309-1;1391;s317;ENP-China Project: https://www.enpchina.eu/;
德格;Dege;Xikang;西康;31.8253785335205;98.6125634351605;德格縣;縣;1931;D3148223;N0329062;246;s1682;ENP-China Project: https://www.enpchina.eu/;
德化;Dehua;Fujian;福建;25.4582607935075;118.133540522786;德化縣;縣;1931;D2868421;N0328992;2538;s1308;ENP-China Project: https://www.enpchina.eu/;
德惠;Dehui;Jilin;吉林;44.6056867800959;125.992381670144;德惠縣;縣;1931;T0257526-1;T0257501-2;1847;s1910;ENP-China Project: https://www.enpchina.eu/;
德江;Dejiang;Guizhou;貴州;28.1243871050513;108.29911742722;德江縣;縣;1931;D2865322;N0329068;90;s1588;ENP-China Project: https://www.enpchina.eu/;
鄧川;Dengchuan;Yunnan;雲南;25.985200021384;100.081722010692;鄧川縣;縣;1931;DH045634-1;DH045634-1;173;s1779;ENP-China Project: https://www.enpchina.eu/;
登封;Dengfeng;Henan;河南;34.5318015030833;112.890914372283;登封縣;縣;1931;D3086428;N0366482;1987;s1939;ENP-China Project: https://www.enpchina.eu/;
登封縣;Dengfengxian;Henan;河南;34.8903529041535;113.429345095775;登封縣縣;縣;1931;D3086428;N0366482-2;1982;s91;ENP-China Project: https://www.enpchina.eu/;
鄧柯;Dengke;Xikang;西康;32.5437093417946;97.9244536641277;鄧柯縣;縣;1931;11703877;N0415645;244;s1678;ENP-China Project: https://www.enpchina.eu/;
磴口;Dengkou;Ningxia;寧夏;39.9241159195115;106.800287684407;磴口縣;縣;1931;11703788;N0415556;191;s1796;ENP-China Project: https://www.enpchina.eu/;
鄧縣;Dengxian;Henan;河南;32.7524826206605;112.00760382796;鄧縣;縣;1931;11703878;N0415646;2009;s1957;ENP-China Project: https://www.enpchina.eu/;
德平;Deping;Shandong;山東;37.4827533560889;116.957550803659;德平縣;縣;1931;11703643;N0415411;2293;s1687;ENP-China Project: https://www.enpchina.eu/;
德慶;Deqing;Guangdong;廣東;23.1532979197993;111.790539759398;德慶縣;縣;1931;DH023350-1;DH139879-1;2187;s1833;ENP-China Project: https://www.enpchina.eu/;
德清;Deqing;Zhejiang;浙江;30.5652907672443;120.105529483817;德清縣;縣;1931;D3363312;N0329074;2607;s868;ENP-China Project: https://www.enpchina.eu/;
德縣;Dexian;Shandong;山東;37.4467204312696;116.284928169428;德縣;縣;1931;11703644;N0415412;2344;s1181;ENP-China Project: https://www.enpchina.eu/;
