Position_Eng_Srce;Sector_1;Sector_2;Occupation_Category;Occupation_Subcategory;Occupation_Detail;Typology_Source
Co-Proprietor and Partner;;;Trade and Industry Business Owners;Business owner;Proprietor;Typo_positions
Commercial Councellor;;;Professionals and senior executives;Expert;Commercial Counsellor;Typo_positions
Commercial Counsellor;;;Professionals and senior executives;Expert;Commercial Counsellor;Typo_positions
Commercial Diplomatic Secretary;;;Professionals and senior executives;Government and administrative official;Secretary;Typo_positions
Commission agent;TRADE;TRADE;Trade and Industry Business Owners;Small traders;;Both
Commission agents;TRADE;TRADE;Trade and Industry Business Owners;Small traders;;SMC
Commissioner;;;Professionals and senior executives;Government and administrative official;Municipal official;Typo_positions
Compradore;;;Professionals and senior executives;Business agent;Agent;Typo_positions
Confectioner;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Consul General;;;Professionals and senior executives;Government and administrative official;Consul;Typo_positions
Consul General for the Netherlands;;;Professionals and senior executives;Government and administrative official;Consul;Typo_positions
Consular official;ADMINISTRATION;GOVERNMENT;Middle managers;Middle administrative managers;;Both
Consulting engineer;SERVICE;PROFESSIONAL;Professionals and senior executives;Engineers;;Both
Contractor;TRADE;UNDEFINED;Trade and Industry Business Owners;Manufacturer;;Both
Contractors;SERVICE;PROFESSIONAL;Professionals and senior executives;Engineers;;SMC
Controller;;;Professionals and senior executives;Educational executive;Controller;Typo_positions
Cook;SERVICE;DOMESTIC SERVICES;Service staff;Other service staff;;Both
Cooks;SERVICE;DOMESTIC SERVICES;Service staff;Other service staff;;SMC
Coolies;SERVICE;TRANSPORTATION;Workers;Laborers;;Both
Cosmetic factory worker;INDUSTRY;CHEMICAL INDUSTRY;Workers;Skilled workers;;Both
Cosmetic factory workers;INDUSTRY;CHEMICAL INDUSTRY;Workers;Skilled workers;;SMC
Cotton tester;INDUSTRY;TEXTILE INDUSTRY;Middle managers;Technicians;;Both
Curio dealer;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Curio dealers;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Custodian and Curator of Department of Conchology;;;Professionals and senior executives;Expert;Curator;Typo_positions
Custodians;SERVICE;FINANCE AND INSURANCE;Trade and Industry Business Owners;Small traders;;Both
