Position_Srce;Sector 1;Sector 2;CSP;Position_type_1;Position_type_2;Year;Source;Comments
Tailors, dressmakers and embroiderer;INDUSTRY;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Tanner;INDUSTRY;LEATHER AND RUBBER INDUSTRY;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Tattoer;MISCELLANEOUS CATEGORIES;UNDEFINED;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Tax collector;SERVICE;MUNICIPAL ADMINISTRATION;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Tea inspector;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Middle managers;Technicians;;1885-1935;Shanghai Municipal Council, Annual Report;
Tea merchant;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Wholesale traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Teacher;;;Professionals and senior executives;Professional;Teacher;1937;Rotary;
Telegraphist;SERVICE;COMMUNICATION;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Telephone Co. Employees;SERVICE;COMMUNICATION;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Telephone engineer;SERVICE;PROFESSIONAL;Professionals and senior executives;Engineers;;1885-1935;Shanghai Municipal Council, Annual Report;
Telephone operator;SERVICE;COMMUNICATION;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Tobacco manufacturer;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Tobacconists;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Tooth brush makers;INDUSTRY;OTHER INDUSTRY;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Tortoiseshell worker;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
