Position_Zh_Srce;Position_Eng;Year;Source;Eng_Source
經濟系主任;editor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總主筆;editor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
特約編輯;editor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
編輯;editor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總編輯;editor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
編輯主任;editor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
主編;editor in chief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
工程師;engineer;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總工程司;engineer;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總工程師;engineer;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
評價委員;evaluator;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
執行委員;executive committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
企業部及調查部專員;executive/expert;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
幹事;executive/expert;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
技術專員;executive/expert;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
業務專員;executive/expert;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
調查專員;executive/expert;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
調查股;executive/expert;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
調查部專員;executive/expert;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
廠務經理;factory manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
廠主;factory owner;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
事務主任;general affairs chief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
第二醫院院長;head;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
名譽秘書;honorary secretary;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
名譽副會長;honorary vice prident;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
視察員;inspector;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
稽核;inspector;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
稽核處第四課課長;inspector;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
第五屆中央監察委員;inspector;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總檢查;inspector;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總管理處業務稽核;inspector;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總管理處檢查室赴外稽核;inspector;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總管理處總稽核;inspector;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
