Position_Eng_Srce;Source
Vice Speaker;Biographical Dictionary of Republican China, vols 1-4
Chief Representative;Biographical Dictionary of Republican China, vols 1-4
Deputy Mayor;Biographical Dictionary of Republican China, vols 1-4
Chief Aide;Biographical Dictionary of Republican China, vols 1-4
Assistant Sub-Prefct;Biographical Dictionary of Republican China, vols 1-4
Co-Founder;Biographical Dictionary of Republican China, vols 1-4
Contributor;Biographical Dictionary of Republican China, vols 1-4
Chief Adviser;Biographical Dictionary of Republican China, vols 1-4
Judge Advocate;Biographical Dictionary of Republican China, vols 1-4
Party Secretaty;Biographical Dictionary of Republican China, vols 1-4
Party Secretary;Biographical Dictionary of Republican China, vols 1-4
Colonel;Biographical Dictionary of Republican China, vols 1-4
Provost;Biographical Dictionary of Republican China, vols 1-4
Publicist;Biographical Dictionary of Republican China, vols 1-4
Chief Instructor;Biographical Dictionary of Republican China, vols 1-4
Artist;Biographical Dictionary of Republican China, vols 1-4
Administrative Vice Minister;Biographical Dictionary of Republican China, vols 1-4
Grand Councillor;Biographical Dictionary of Republican China, vols 1-4
Administrative Officer;Biographical Dictionary of Republican China, vols 1-4
Full member;Biographical Dictionary of Republican China, vols 1-4
Departmental Keeper;Biographical Dictionary of Republican China, vols 1-4
Assistant Departmental Keeper Of Drafts;Biographical Dictionary of Republican China, vols 1-4
Associate Chief Justice;Biographical Dictionary of Republican China, vols 1-4
Provincial Treasurer;Biographical Dictionary of Republican China, vols 1-4
Viceroy;Biographical Dictionary of Republican China, vols 1-4
Honorary Chairman;Biographical Dictionary of Republican China, vols 1-4
Educational Administrator;Biographical Dictionary of Republican China, vols 1-4
Chief Accountant;Biographical Dictionary of Republican China, vols 1-4
Deputy Peace Preservation Commander;Biographical Dictionary of Republican China, vols 1-4
Educator And Intellectual Publicist;Biographical Dictionary of Republican China, vols 1-4
First Councillor;Biographical Dictionary of Republican China, vols 1-4
Presidential Adviser;Biographical Dictionary of Republican China, vols 1-4
Presidential Secretary;Biographical Dictionary of Republican China, vols 1-4
Military Staff Member;Biographical Dictionary of Republican China, vols 1-4
District Director;Biographical Dictionary of Republican China, vols 1-4
Private Secretary;Biographical Dictionary of Republican China, vols 1-4
Consul General;Biographical Dictionary of Republican China, vols 1-4
Associate secretary;Biographical Dictionary of Republican China, vols 1-4
Expert;Biographical Dictionary of Republican China, vols 1-4
Weapons Specialist;Biographical Dictionary of Republican China, vols 1-4
Paymaster;Biographical Dictionary of Republican China, vols 1-4
Xian Magistrate;Biographical Dictionary of Republican China, vols 1-4
Circuit Commissioner;Biographical Dictionary of Republican China, vols 1-4
Board Secretary;Biographical Dictionary of Republican China, vols 1-4
Salaried Shengyuan;Biographical Dictionary of Republican China, vols 1-4
Junior Vice President;Biographical Dictionary of Republican China, vols 1-4
Expectant Subprefect;Biographical Dictionary of Republican China, vols 1-4
Intendent;Biographical Dictionary of Republican China, vols 1-4
Chief Bibliographer;Biographical Dictionary of Republican China, vols 1-4
Assistant Librarian;Biographical Dictionary of Republican China, vols 1-4
Consulting Engineer;Biographical Dictionary of Republican China, vols 1-4
General Counselor;Biographical Dictionary of Republican China, vols 1-4
Honorary Editor;Biographical Dictionary of Republican China, vols 1-4
Deputy General;Biographical Dictionary of Republican China, vols 1-4
Chief Envoy;Biographical Dictionary of Republican China, vols 1-4
Aide-De-Camp;Biographical Dictionary of Republican China, vols 1-4
Provincial Judge;Biographical Dictionary of Republican China, vols 1-4
Lieutenant Governor;Biographical Dictionary of Republican China, vols 1-4
Diocesan Bishop;Biographical Dictionary of Republican China, vols 1-4
Deputy Regimental Commander;Biographical Dictionary of Republican China, vols 1-4
Justice;Biographical Dictionary of Republican China, vols 1-4
Unofficial Member;Biographical Dictionary of Republican China, vols 1-4
Executive Officer;Biographical Dictionary of Republican China, vols 1-4
Judicial Commissioner;Biographical Dictionary of Republican China, vols 1-4
Second Lieutenant;Biographical Dictionary of Republican China, vols 1-4
Commissar;Biographical Dictionary of Republican China, vols 1-4
Adjutant General;Biographical Dictionary of Republican China, vols 1-4
Quartermaster General;Biographical Dictionary of Republican China, vols 1-4
Company And Battalion Commander;Biographical Dictionary of Republican China, vols 1-4
Emissary;Biographical Dictionary of Republican China, vols 1-4
Postal Officer;Biographical Dictionary of Republican China, vols 1-4
Account Clerk;Asia Directory & Chronicle
Accountant;Asia Directory & Chronicle
Accountant and Distributor;Asia Directory & Chronicle
Accountant and Public Auditor;Asia Directory & Chronicle
Accountant Clerk;Asia Directory & Chronicle
Accountant Officer;Asia Directory & Chronicle
Accountants Department;Asia Directory & Chronicle
Accountants' Office;Asia Directory & Chronicle
Accounting Department;Asia Directory & Chronicle
Accounting Division;Asia Directory & Chronicle
Acting  Secretary Interpreter;Asia Directory & Chronicle
Acting Accountant;Asia Directory & Chronicle
Acting Administrator;Asia Directory & Chronicle
Acting Agent;Asia Directory & Chronicle
Acting Apothecary and Analyst;Asia Directory & Chronicle
Acting Appraising Commissioner;Asia Directory & Chronicle
Acting Assistant;Asia Directory & Chronicle
Acting Assistant Audit Secretary;Asia Directory & Chronicle
Acting Assistant Cashier;Asia Directory & Chronicle
