Discipline_ZhS_Srce,Discipline_ZhT_Srce,Discipline_Level2,Discipline_Level2_Strd,Discipline_Level1,Discipline_Level1_Strd,Discipline_Level0,Discipline_Level0_ZhT,Level1_code,,,,
农学院农业化系,農學院農業化系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业专修园艺组,農學院農業專修園藝組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业专修科,農學院農業專修科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业专修科园艺组,農學院農業專修科園藝組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业专修科转普农科,農學院農業專修科轉普農科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业专修科农业工程组,農學院農業專修科農業工程組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业专科,農學院農業專科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业工程,農學院農業工程,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业工程学系,農學院農業工程學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业工程系,農學院農業工程系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业工程系转理学院电工系,農學院農業工程系轉理學院電工系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业工程组,農學院農業工程組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业教育学系,農學院農業教育學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业教育系,農學院農業教育系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业畜牧学,農學院農業畜牧學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业经济学,農學院農業經濟學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业经济学系,農學院農業經濟學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业经济研究所,農學院農業經濟研究所,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业经济研究部,農學院農業經濟研究部,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业经济系,農學院農業經濟系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业经济系（农学院园艺系）,農學院農業經濟系（農學院園藝系）,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业经济系转农教系,農學院農業經濟系轉農教系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业农经科转园艺组,農學院農業農經科轉園藝組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农畜学,農學院農畜學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农科研究所农经学部,農學院農科研究所農經學部,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农经学,農學院農經學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农经学校,農學院農經學校,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农经学系,農學院農經學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农经研究部,農學院農經研究部,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农经系,農學院農經系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农经系研究所,農學院農經系研究所,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农经系转农学院农工组,農學院農經系轉農學院農工組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农经系农业工程组,農學院農經系農業工程組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农艺,農學院農藝,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
